year,country,gaussian,laplace,noneponymic
1816,France,,,1
1837,France,,,1
1838,England,,,1
1843,France,,,1
1846,Belgium,,,1
1852,Belgium,,,1
1860,Germany,,,1
1867,Italy,,,1
1869,Belgium,,,1
1872,Germany,1,,1
1874,England,,,1
1877,Germany,,,1
1877,USA,,,1
1878,France,,,1
1879,Italy,,,1
1879,England,,,1
1884,USA,1,,1
1888,England,,,1
1889,England,,,1
1889,France,1,,
1892,USA,,,1
1892,USA,,,1
1896,USA,,,1
1896,France,1,,1
1897,Germany,1,,
1901,England,,,1
1903,Holland,,,1
1903,Denmark,,,1
1906,England,,,1
1906,Italy,,,1
1906,Austria,,,1
1906,Germany,1,,
1908,Germany,1,,
1908,France,1,,
1909,Germany,,,1
1909,France,1,,1
1911,England,,,1
1912,England,1,,1
1917,Denmark,,,1
1919,England,,,1
1920,Italy,1,1,1
1921,USA,,,1
1921,Italy,1,,1
1921,England,,,1
1921,France,,,1
1921,Austria,,,1
1923,USA,,,1
1924,France,,1,
1924,England,,,1
1925,USA,,,1
1925,England,,,1
1928,France,,,1
1928,USA,1,,1
1930,France,,,1
1931,Sweden,,,1
1931,Italy,,,1
1931,USA,,,1
1937,USA,1,,1
1937,USA,,,1
1939,USA,,,1
1939,England,,,1
1947,USA,,,1
1948,France,1,1,1
1950,USA,,,1
1950,USA,1,,1
1952,USA,,,1
1956,Austria,1,,1
1957,Germany,1,,1
1957,France,1,1,1
1960,USA,1,,1
1962,England,,,1
1963,Romania,1,1,1
1965,USA,,,1
1967,USA,,,1
1968,USA,,,1
1968,USA,,,1
1969,USA,1,,1
1970,USA,,,1
1970,USA,1,,1
1976,USA,,,1
